id,ceiling_height,metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term,ceiling_height_known,rooms_count,types_room,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute,living_area_known,kitchen_area_known
274501292,2.64,8,1,120.0,50.0,10.0,300000.0,0.0,1,1.0,1,0,3.0,,3,5,,,3.0,,,1.0,1.0,2.0,0.0,1,1,1,1,1,0.0,0,0.0,0.0,0.0,0,0,0,1.0,0.0,,0,0
261980888,2.8,6,1,133.0,77.0,8.0,400000.0,0.0,1,1.0,1,1,3.0,", Оба варианта",5,13,9.0,4.0,,,,1.0,0.0,2.0,0.0,1,0,1,0,1,1.0,1,1.0,1.0,0.0,0,1,0,2.0,2.0,0.0,1,1
272567246,2.64,4,1,180.0,89.0,13.0,400000.0,0.0,1,1.0,1,0,4.0,,2,4,8.0,,,0.0,1.0,1.0,0.0,3.0,0.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1,1
274930877,2.64,5,1,219.0,116.0,25.0,450000.0,0.0,1,1.0,1,0,4.0,", Оба варианта",5,9,9.0,4.0,,1.0,0.0,,,2.0,1.0,0,0,0,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,0.0,1,1
273576298,2.64,6,1,130.0,89.0,10.0,450000.0,0.0,1,1.0,1,0,3.0,", Оба варианта",3,8,5.0,4.0,,0.0,1.0,1.0,0.0,2.0,0.0,1,0,1,0,1,1.0,1,0.0,0.0,0.0,0,1,0,1.0,0.0,1.0,1,1
271108834,3.0,8,1,180.0,70.0,20.0,500000.0,0.0,1,1.0,1,1,5.0,,7,7,8.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0.0,1,1
256631457,3.2,8,1,190.0,105.0,15.0,520000.0,0.0,1,1.0,1,1,4.0,", Оба варианта",7,7,5.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,1,0,0,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,1.0,1,1
271988698,2.64,9,1,174.0,55.0,15.0,550000.0,0.0,1,1.0,1,0,3.0,,10,16,9.0,,3.0,,,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,4.0,0.0,0.0,0,0
274066192,2.64,8,1,52.0,31.0,10.0,80000.0,0.0,1,1.0,1,0,2.0,", Изолированная",11,24,0.0,0.0,,,,0.0,1.0,1.0,0.0,1,0,1,0,1,0.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,1.0,1,1
273763131,2.64,4,1,91.0,50.0,10.0,95000.0,0.0,1,1.0,1,0,3.0,,9,10,,,0.0,,,,,0.0,1.0,0,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,,0,0
273684904,2.64,9,1,56.0,35.0,8.0,105000.0,0.0,1,1.0,1,0,2.0,,7,16,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1,1,1,0,1,0.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,1.0,1,1
271542995,3.2,8,1,80.0,44.0,10.0,120000.0,0.0,1,1.0,1,1,3.0,", Оба варианта",5,6,7.0,0.0,,0.0,2.0,1.0,0.0,1.0,0.0,0,0,1,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,0.0,1,1
273012299,3.2,8,1,94.0,42.0,12.0,135000.0,0.0,1,1.0,1,1,2.0,", Оба варианта",5,5,5.0,,,,,1.0,1.0,1.0,0.0,0,0,1,0,0,1.0,1,1.0,1.0,0.0,0,1,0,1.0,0.0,1.0,1,1
270282698,3.0,7,1,40.0,24.0,9.0,135000.0,0.0,1,1.0,1,1,2.0,", Изолированная",21,26,9.0,,,,,0.0,1.0,1.0,1.0,1,0,1,0,0,1.0,1,1.0,1.0,0.0,0,1,0,3.0,3.0,0.0,1,1
274336333,2.64,8,1,94.0,64.0,9.0,145000.0,0.0,1,1.0,1,1,3.0,", Оба варианта",4,4,5.0,0.0,2.0,,,1.0,0.0,2.0,0.0,1,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,0,0.0,0.0,0.0,1,1
